mixture_collection	indiv	AK	East	FL	TX	West	na_count	Year	Month	Day	State	nearestCity	countryCode	latitude	longitude
ID	16N2066	3.36571143719735e-08	4.220395166078e-06	2.05699515099947e-13	5.92559941297879e-14	0.999995745947455	1	2017	AUG	21	ID	Boise	USA	43.60583	-116.0597
ID	16N2067	7.1777097183428e-06	0.000152912560282098	7.81082467173472e-08	5.37779317069038e-07	0.999839293842436	7	2017	AUG	22	ID	Boise	USA	43.60583	-116.0597
ID	16N2068	3.42617184280519e-06	9.28616938570904e-08	2.02160181716104e-15	3.30538529351514e-12	0.999996480963157	1	2017	AUG	22	ID	Boise	USA	43.60583	-116.0597
ID	16N2069	0.000352304783930607	3.72189308000459e-06	3.4326134353872e-10	9.01595804535827e-10	0.999643972078134	7	2017	AUG	22	ID	Boise	USA	43.60583	-116.0597
ID	16N2070	6.6895864451691e-06	2.03729728288999e-05	2.63800048134051e-12	1.25264273045134e-15	0.999972937438086	1	2017	AUG	23	ID	Boise	USA	43.60583	-116.0597
ID	16N2071	2.83188405225357e-08	0.513942954538678	0.000664362287752476	5.7557704749674e-12	0.485392654848973	7	2017	AUG	23	ID	Boise	USA	43.60583	-116.0597
ID	16N2072	6.09015973837615e-05	6.26462018282861e-05	9.23153889393345e-12	7.74062381344289e-15	0.999876452191551	5	2017	AUG	24	ID	Boise	USA	43.60583	-116.0597
ID	16N2073	4.64269706044227e-08	7.32012013711232e-07	8.58528047386156e-16	1.1772175562546e-10	0.999999221443293	3	2017	AUG	25	ID	Boise	USA	43.60583	-116.0597
ID	16N2074	0.000360705654033586	1.17142742812495e-05	2.91166319102888e-13	8.22951385784707e-15	0.999627580071385	1	2017	AUG	25	ID	Boise	USA	43.60583	-116.0597
ID	16N2075	6.77303343963242e-05	2.06253775406352e-05	2.85585036132654e-12	7.53694043752969e-12	0.999911644277671	5	2017	AUG	25	ID	Boise	USA	43.60583	-116.0597
ID	16N2076	0.0259413420938244	0.00283649050140529	7.53134243820283e-11	6.92706979060015e-11	0.971222167260185	11	2017	AUG	25	ID	Boise	USA	43.60583	-116.0597
ID	16N2077	3.46992005394975e-07	3.83851619792327e-07	2.20477907828907e-11	7.58152400907448e-15	0.999999269134319	11	2017	AUG	25	ID	Boise	USA	43.60583	-116.0597
ID	16N2078	2.26028082881656e-05	4.74235576032612e-07	3.53823336534662e-09	1.09296387630285e-16	0.999976919417902	11	2017	AUG	25	ID	Boise	USA	43.60583	-116.0597
